metric,value
inception,2023-11-30
initial_capital,170635.08
cash,77313.33
securities_market_value,195276.90
nav,272590.23
total_income_to_date,16043.06
total_realized_gains,70043.15
total_return_incl_income,0.597504
num_positions,23
cash_weight,0.283625
minimum_cash,-75066.11
minimum_cash_date,2024-08-14
peak_margin_borrowing_pct_of_initial_capital,0.439922
region_International,0.360561
region_US,0.355814
sector_Energy,0.316147
sector_Commodity/Energy,0.185839
sector_Financials,0.056623
sector_Shipping,0.048999
sector_Volatility,0.045093
sector_Agriculture,0.027184
sector_Technology,0.018308
sector_Country Equity,0.018181
region_Cash,0.283625
