date,type,ticker,amount
2023-11-29,Deposit,,182681.81
2023-12-06,Dividend,CRESY,142.05
2023-12-14,Dividend,BTE,17.00
2023-12-14,Dividend,VRN,37.25
2023-12-28,Dividend,FRHLF,27.20
2023-12-28,Dividend,VET,22.80
2024-01-30,Dividend,FRHLF,26.80
2024-02-28,Dividend,FRHLF,26.80
2024-03-14,Dividend,BTE,17.00
2024-03-14,Dividend,VRN,42.55
2024-03-27,Dividend,FRHLF,26.40
2024-03-27,Dividend,VET,26.40
2024-04-29,Dividend,CRLFF,35.20
2024-04-29,Dividend,FRHLF,26.40
2024-05-15,Dividend,BTU,15.00
2024-05-31,Dividend,CRLFF,35.20
2024-05-31,Dividend,FRHLF,26.40
2024-06-10,Dividend,CRESY,149.46
2024-06-14,Dividend,BTE,16.00
2024-06-14,Dividend,VRN,41.85
2024-06-24,Dividend,PXJ,178.00
2024-06-28,Dividend,CRLFF,35.20
2024-06-28,Dividend,FRHLF,26.40
2024-06-28,Dividend,VET,26.40
2024-07-31,Dividend,CRLFF,34.40
2024-07-31,Dividend,FRHLF,26.00
2024-08-15,Dividend,BTU,15.00
2024-08-30,Dividend,CNR,15.00
2024-08-30,Dividend,CRLFF,35.20
2024-08-30,Dividend,FRHLF,26.80
2024-09-13,Dividend,VRN,42.35
2024-09-16,Dividend,BTE,17.00
2024-09-23,Dividend,PXJ,132.00
2024-09-27,Dividend,VET,26.70
2024-09-30,Dividend,CRLFF,35.52
2024-09-30,Dividend,FRHLF,26.48
2024-10-31,Dividend,CRLFF,34.40
2024-10-31,Dividend,FRHLF,26.00
2024-11-14,Dividend,BTU,15.00
2024-11-15,Dividend,CNR,15.00
2024-11-29,Dividend,CRLFF,34.40
2024-11-29,Dividend,FRHLF,25.60
2024-12-02,Dividend,CRESY,238.05
2024-12-13,Dividend,BTE,16.00
2024-12-13,Dividend,VRN,40.40
2024-12-23,Dividend,GDX,403.00
2024-12-23,Dividend,PXJ,106.00
2024-12-31,Dividend,CRLFF,33.60
2024-12-31,Dividend,FRHLF,25.20
2024-12-31,Dividend,VET,25.20
2025-01-16,Dividend,CRLFF,28.42
2025-01-16,Dividend,VET,21.27
2025-02-18,Dividend,FRHLF,21.57
2025-02-19,Dividend,CRLFF,28.76
2025-03-11,Dividend,BTU,15.00
2025-03-17,Dividend,CNR,6.00
2025-03-17,Dividend,FRHLF,21.41
2025-03-18,Dividend,CRLFF,28.37
2025-03-27,Dividend,NEM,25.00
2025-03-28,Dividend,PXJ,58.91
2025-03-31,Dividend,DVN,48.00
2025-03-31,Dividend,OVV,21.00
2025-04-01,Dividend,BTE,22.61
2025-04-01,Dividend,VRN,61.36
2025-04-15,Dividend,FRHLF,21.88
2025-04-15,Dividend,VET,23.73
2025-04-16,Dividend,CRLFF,29.43
2025-04-30,Dividend,NOG,67.50
2025-05-16,Dividend,CRLFF,29.23
2025-05-28,Dividend,GMBXF,66.83
2025-05-28,Dividend,PBR,87.55
2025-05-29,Dividend,PBR,0.08
2025-06-02,Dividend,BG,70.00
2025-06-02,Dividend,TGT,67.20
2025-06-04,Dividend,LTPZ,133.00
2025-06-17,Dividend,CRLFF,30.01
2025-06-25,Dividend,XOP,75.24
2025-06-27,Dividend,PBR,90.20
2025-06-30,Dividend,OVV,21.00
2025-06-30,Dividend,PBR,1.15
2025-07-01,Dividend,GUSH,102.24
2025-07-01,Dividend,SDS,516.51
2025-07-03,Dividend,LTPZ,161.00
2025-07-16,Dividend,CRLFF,29.82
2025-07-31,Dividend,NOG,67.50
2025-08-05,Dividend,LTPZ,119.00
2025-08-18,Dividend,CRLFF,29.58
2025-08-27,Dividend,PBR,95.15
2025-09-02,Dividend,BG,70.00
2025-09-04,Dividend,LTPZ,168.00
2025-09-08,Dividend,GMBXF,75.22
2025-09-16,Dividend,CRLFF,29.46
2025-09-24,Dividend,XOP,88.14
2025-09-29,Dividend,OVV,21.00
2025-09-29,Dividend,PBR,77.12
2025-09-30,Dividend,GUSH,102.68
2025-09-30,Dividend,PBR,32.47
2025-10-03,Dividend,LTPZ,98.00
2025-10-16,Dividend,CRLFF,29.06
2025-10-31,Dividend,NOG,67.50
2025-11-05,Dividend,LTPZ,154.00
2025-11-18,Dividend,CRLFF,29.08
2025-12-01,Dividend,BG,70.00
2025-12-01,Dividend,PBR,70.52
2025-12-03,Dividend,GMBXF,88.62
2025-12-03,Dividend,LTPZ,140.00
2025-12-10,Dividend,CRESY,245.56
2025-12-16,Dividend,CRLFF,29.60
2025-12-24,Dividend,XOP,91.04
2025-12-30,Dividend,PBR,47.18
2025-12-31,Dividend,GUSH,78.25
2025-12-31,Dividend,OVV,21.00
2025-12-31,Dividend,PBR,28.95
2026-01-05,Dividend,LTPZ,140.00
2026-01-15,Dividend,CRESY,-0.17
2026-01-16,Dividend,CRLFF,29.39
2026-01-20,Dividend,CRESY,-0.41
2026-01-30,Dividend,NOG,67.50
2026-02-18,Dividend,CRLFF,29.94
2026-02-27,Dividend,PBR,106.23
2026-03-03,Dividend,BG,70.00
2026-03-17,Dividend,CRLFF,29.70
2026-03-27,Dividend,PBR,74.94
2026-03-30,Dividend,PBR,42.61
2026-03-31,Dividend,SDS,332.18
2026-03-31,Dividend,SKF,52.77
2026-04-30,Dividend,NOG,99.00
2026-05-22,Dividend,AKRVF,124.01
2026-05-27,Dividend,EQNR,86.25
2026-05-28,Dividend,PBR,68.25
2026-05-29,Dividend,PBF,33.00
2026-05-29,Dividend,PBR,3.89
2026-06-02,Dividend,GMBXF,68.65
2026-06-02,Dividend,YPF,-6.00
2026-06-29,Dividend,PBR,71.44
2026-06-29,Dividend,VARRY,89.76
2026-07-15,Dividend,REPYY,98.50
2026-07-29,Dividend,AKRVF,125.34
